CaseId;DocumentId;ProjectId;OrganisationId;Kommun;Myndighetstyp;Myndighet;Diarienummer;Dokumenttyp;Dokumentdatum;KallaFil;Kallrubrik;CaseReviewStatus;ValidatedBy;ValidatedAt;Notes
ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumxa005ecuqwd2rfqss7;cmm55w57p0004cuisfrtpqly8;cmm4xvu980000cuh4vj0usz09;Västerviks;Kommun;Västerviks kommun;2024-05;Anmalan;2026-02-02;2024-786 Anmälan.pdf;Sv: till registrator;AUTO;;;AUTO_GENERERAD. Bekrafta metadata mot kallfil.
ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyz0075cuqwsj0akxcx;cmm55w57p0004cuisfrtpqly8;cmm4xvu980000cuh4vj0usz09;Falkenberg Postadress Falkenbergs;Kommun;Falkenberg Postadress Falkenbergs kommun;2025-02;Beslut;2026-02-03;M-2024-2727_2025-01-10_Beslut (MHF MHN)_Västra Gärdet 2 1.pdf;efterfrågade handlingar;AUTO;;;AUTO_GENERERAD. Bekrafta metadata mot kallfil.
ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1DD0000;cmm4yumy7006ecuqwnx9sxuen;cmm55w57p0004cuisfrtpqly8;cmm4xvu980000cuh4vj0usz09;;Kommun;;2024-06150267;Beslut;2026-02-02;Deponi 1301_177-2024-06150267_01 (1).pdf;Re: till registrator;AUTO;;;AUTO_GENERERAD. Bekrafta metadata mot kallfil.
ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D50000;cmm4yumye006kcuqwoqjb4otw;cmm55w57p0004cuisfrtpqly8;cmm4xvu980000cuh4vj0usz09;Furunäsets miljöcentral Överkalix;Kommun;Furunäsets miljöcentral Överkalix kommun;2020-09;Beslut;2026-02-03;Egenkontrollprogram FMC_sep 2020_med bilagor_200917.pdf;Sv: fråga om sophämtning;AUTO;;;AUTO_GENERERAD. Bekrafta metadata mot kallfil.
ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B5EE0000;cmm4yumvp003zcuqwqxlxa6rl;cmm55w57p0004cuisfrtpqly8;cmm4xvu980000cuh4vj0usz09;i Haparanda;Kommun;i Haparanda kommun;2025-12;Anmalan;2026-02-02;Sbn-2025-457-Beslut anmälan om miljöfarlig verksamhet.pdf;Förfrågan C-verksamheter;AUTO;;;AUTO_GENERERAD. Bekrafta metadata mot kallfil.
ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B5F30000;cmm4yumv4003hcuqw0spjrgud;cmm55w57p0004cuisfrtpqly8;cmm4xvu980000cuh4vj0usz09;;Kommun;;2026-01;Beslut;2026-02-02;MBN-2026-126-Övrigt-0840-106.pdf;VB: till registrator;AUTO;;;AUTO_GENERERAD. Bekrafta metadata mot kallfil.
